"","database","category","pval","qval","Combined Score","genes"
"180","GO_Biological_Process_2017","neuronal action potential (GO:0019228)",8.82354419847442e-07,0.000749118902450478,38.0136467043566,"KCNA1,SCN7A,SCN4A,SCN2A,SCN3A,CACNA1G"
"185","GO_Biological_Process_2017","potassium ion transport (GO:0006813)",4.42003324204257e-06,0.00187630411124707,30.8585286957074,"KCNH3,KCNIP2,KCNMB1,KCNA1,KCNC4,KCNQ4,KCNJ16,ATP1A2"
"184","GO_Biological_Process_2017","positive regulation of epithelial cell proliferation (GO:0050679)",7.070225888181e-06,0.00200087392635522,31.0029090512632,"FGF7,SFRP1,OSR1,EGFR,BMP6,BMP5"
"183","GO_Biological_Process_2017","lung development (GO:0030324)",1.22718739391269e-05,0.00260470524357968,31.8802444517571,"CCDC39,RBP4,CHI3L1,NPHP3,PROX1"
"187","GO_Biological_Process_2017","membrane depolarization during action potential (GO:0086010)",5.43820840216213e-05,0.00923407786687129,24.5245451308158,"SCN7A,SCN4A,SCN2A,SCN3A,CACNA1G"
"188","GO_Biological_Process_2017","sodium ion transport (GO:0006814)",0.000143043509762544,0.0202406566314,21.0779062239913,"SCN7A,ATP1A2,SCN4A,SCN2A,SCN3A"
"181","GO_Biological_Process_2017","membrane repolarization (GO:0086009)",0.000262498349301705,0.0318372997938782,37.3130079635446,"KCNIP2,ATP1A2,ATP1B2"
"196","GO_Biological_Process_2017","complement activation, lectin pathway (GO:0001867)",0.000370838428132243,0.0349824250538083,12.504584740909,"FCN3,MASP2,MASP1"
"200","GO_Biological_Process_2017","regulation of energy homeostasis (GO:2000505)",0.000370838428132243,0.0349824250538083,10.5998644365436,"MLXIPL,LEPR,CD36"
"193","GO_Biological_Process_2017","negative regulation of myeloid cell differentiation (GO:0045638)",0.000664889048697232,0.0529426597698564,13.6785347234996,"MEIS1,ZBTB16,MEIS2"
"182","GO_Biological_Process_2017","positive regulation of transcription, DNA-templated (GO:0045893)",0.000685947299727233,0.0529426597698564,36.2988506584202,"CDKN1C,ZBTB16,EBF3,PROX1,NR1D1,EGFR,ESR2,MLXIPL,BMP2,SFRP1,IRF4,HAS3,TNNI2,CAPN3,SOX8,PPARGC1A,CREB5"
"189","GO_Biological_Process_2017","positive regulation of bone mineralization (GO:0030501)",0.000999724730769443,0.0707305247019381,16.912767539188,"BMP2,OSR1,GPM6B,BMP6"
"190","GO_Biological_Process_2017","positive regulation of fat cell differentiation (GO:0045600)",0.00128130927306925,0.0778324078416055,16.3659605329654,"BMP2,SFRP1,ZBTB16,MEDAG"
"194","GO_Biological_Process_2017","muscle organ development (GO:0007517)",0.00150116904993111,0.0778324078416055,13.364008959757,"MYH3,FHL1,SPEG,CAPN3,ITGA7"
"199","GO_Biological_Process_2017","positive regulation of cell-matrix adhesion (GO:0001954)",0.00161883775188955,0.0778324078416055,11.4410479163494,"SFRP1,CD36,CCL28"
"191","GO_Biological_Process_2017","glucose homeostasis (GO:0042593)",0.00175750337152193,0.0778324078416055,16.0019878814965,"MLXIPL,RBP4,LEPR,PDK4,PCK1"
