"identifier","log2FoldChange","logCPM","LR","pvalue","padj","gene","chrom","strand","Symbol"
"ENSG00000000005",-2.60673833101949,1.04132543589605,58.8741942060763,1.68082246350631e-14,1.92000350006326e-10,"TNMD","chrX","+","TNMD"
"ENSG00000003137",-2.00444389784485,2.97721306668959,83.8663436947785,5.29381349338927e-20,6.97936370968441e-16,"CYP26B1","chr2","-","CYP26B1"
"ENSG00000003249",2.2826495978727,4.57249371908232,202.050711678899,7.45301217436419e-46,1.25464006943247e-41,"DBNDD1","chr16","-","DBNDD1"
"ENSG00000003436",-2.20363596729301,4.93763371658604,213.359438086572,2.54073067603567e-48,4.31314439563815e-44,"TFPI","chr2","-","TFPI"
"ENSG00000004478",2.0658609192418,8.22031888300969,232.33272830623,1.84766976653701e-52,3.17226422216739e-48,"FKBP4","chr12","+","FKBP4"
"ENSG00000004776",-2.80726829182262,5.78782158027761,125.270507270742,4.44089363444913e-29,6.7048612092913e-25,"HSPB6","chr19","-","HSPB6"
"ENSG00000004799",-2.78507541070996,7.39311705205475,107.467870758009,3.51558752486601e-25,5.05330550824241e-21,"PDK4","chr7","-","PDK4"
"ENSG00000004838",3.81743588632814,4.14062072693154,273.450288086724,2.00886769766372e-61,3.50647856627202e-57,"ZMYND10","chr3","-","ZMYND10"
"ENSG00000004846",-4.14321460695879,1.1047503423658,156.47123897836,6.67870747537671e-36,1.06772496408847e-31,"ABCB5","chr7","+","ABCB5"
"ENSG00000005513",-3.21715443034055,1.48212118563465,264.960991665493,1.42290821854314e-59,2.4754334277995e-55,"SOX8","chr16","+","SOX8"
"ENSG00000006118",2.16169069906434,5.96370331022874,144.958597145357,2.19286882566376e-33,3.44148833499671e-29,"TMEM132A","chr11","+","TMEM132A"
"ENSG00000006210",-3.11349070895444,7.14063265459141,262.432149682373,5.06261492799675e-59,8.80034352933676e-55,"CX3CL1","chr16","+","CX3CL1"
"ENSG00000006283",-2.47852743417107,1.87439438969396,124.814788672005,5.58737246363763e-29,8.42464020067281e-25,"CACNA1G","chr17","+","CACNA1G"
"ENSG00000006747",2.43162372664895,3.57177151708234,56.9136365629179,4.55377185873925e-14,5.12709173575453e-10,"SCIN","chr7","+","SCIN"
"ENSG00000007314",-3.69847471948708,3.14437414615328,281.926359883108,2.85636690584061e-63,4.99864208522106e-59,"SCN4A","chr17","-","SCN4A"
"ENSG00000007402",2.04770462579605,4.34520464470449,82.9579963714462,8.38156092328696e-20,1.10150473653837e-15,"CACNA2D2","chr3","-","CACNA2D2"
"ENSG00000008056",2.69008650374525,1.42941418632665,72.4750626909951,1.69155996875341e-17,2.10633047309175e-13,"SYN1","chrX","-","SYN1"
"ENSG00000008311",-2.94323615004739,3.73622346761971,415.449203540395,2.3877763572172e-92,4.25191335929666e-88,"AASS","chr7","-","AASS"
"ENSG00000008735",2.57200932227468,4.50015751140469,103.356511695554,2.79952904186057e-24,3.97253171040016e-20,"MAPK8IP2","chr22","+","MAPK8IP2"
"ENSG00000009694",-3.83099802779123,1.07972779360631,383.18421638674,2.52182420565531e-85,4.48329907281401e-81,"TENM1","chrX","-","TENM1"
"ENSG00000009724",-2.68746611492173,0.802738794740369,240.643032422474,2.84771499173541e-54,4.91173881774523e-50,"MASP2","chr1","-","MASP2"
"ENSG00000009950",-3.5157544500809,3.80985587245224,180.207280109568,4.36679496730789e-41,7.19691478562013e-37,"MLXIPL","chr7","-","MLXIPL"
"ENSG00000011052",2.0378219157141,3.88106248810401,136.142136624914,1.85746649075711e-31,2.8738721544994e-27,"NME2","chr17","+","NME2"
"ENSG00000011426",2.88862952339631,3.61290608427863,208.734323273837,2.59420610727096e-47,4.38939673350247e-43,"ANLN","chr7","+","ANLN"
"ENSG00000013297",-2.08457303703642,4.30053831640537,134.541528683019,4.15929829373708e-31,6.4132220391132e-27,"CLDN11","chr3","+","CLDN11"
"ENSG00000013588",2.96599890946098,8.12816897899366,182.183946448551,1.61655962149127e-41,2.66942490296853e-37,"GPRC5A","chr12","+","GPRC5A"
