"","database","category","pval","qval","Combined Score","genes"
"155","GO_Biological_Process_2017","negative regulation of transcription from RNA polymerase II promoter (GO:0000122)",1.659697056367e-07,8.48105195803538e-05,84.4499678123506,"TCERG1,ZFP36,EDN1,NOTCH1,NFIL3,SATB1,ARID5B,PPARG,GLI2,SNCA,TBX2"
"158","GO_Biological_Process_2017","regulation of cell proliferation (GO:0042127)",2.11304951251561e-06,0.000539884150447739,42.5469715842516,"JUN,KIT,FAS,FYN,CXCL2,TGFBR2"
"164","GO_Biological_Process_2017","response to lipopolysaccharide (GO:0032496)",3.97375194659199e-06,0.000540684770285124,34.1374277337094,"JUN,FAS,TLR4,CXCL2,SNCA"
"165","GO_Biological_Process_2017","regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)",4.23236610790704e-06,0.000540684770285124,34.0144746949733,"EGF,KIT,PDGFA,FYN,EGFR"
"156","GO_Biological_Process_2017","positive regulation of cell proliferation (GO:0008284)",6.35375389326889e-06,0.000620685388020979,56.6746625073713,"EDN1,NOTCH1,EGF,PDGFA,EGFR,CDC25B,TGFBR2,TBX2"
"160","GO_Biological_Process_2017","positive regulation of MAP kinase activity (GO:0043406)",7.2878910530839e-06,0.000620685388020979,36.3505707064713,"EDN1,EGF,PDGFA,EGFR"
"166","GO_Biological_Process_2017","phosphatidylinositol-mediated signaling (GO:0048015)",1.16050212853569e-05,0.000847166553831057,31.0235682441014,"EGF,KIT,PDGFA,FYN,EGFR"
"167","GO_Biological_Process_2017","epidermal growth factor receptor signaling pathway (GO:0007173)",2.05049526453684e-05,0.00130975385022291,29.6473946456996,"EGF,PXN,CBLB,EGFR"
"159","GO_Biological_Process_2017","apoptotic process (GO:0006915)",2.82806035724293e-05,0.00160570982505682,36.9827267845083,"CASP10,GADD45A,PAK6,FAS,CFLAR,TGFBR2"
"171","GO_Biological_Process_2017","cellular response to reactive oxygen species (GO:0034614)",6.67658673088179e-05,0.00283364748572468,21.0097030229863,"JUN,PXN,EGFR"
"163","GO_Biological_Process_2017","MAPK cascade (GO:0000165)",6.92702380152781e-05,0.00283364748572468,34.8994088513639,"ZFP36,EGF,KIT,PDGFA,FYN,EGFR"
"161","GO_Biological_Process_2017","positive regulation of apoptotic process (GO:0043065)",7.26791139899957e-05,0.00283364748572468,36.2821316865619,"JUN,GADD45A,IGFBP3,FAS,HOXA5,SNCA"
"170","GO_Biological_Process_2017","positive regulation of DNA replication (GO:0045740)",7.49486084023698e-05,0.00283364748572468,24.4807132908865,"PDGFA,EGFR,GLI2"
"168","GO_Biological_Process_2017","positive regulation of cell migration (GO:0030335)",7.76341776910871e-05,0.00283364748572468,27.1586040383441,"EDN1,NOTCH1,PDGFA,EGFR,MYLK"
"392","GO_Biological_Process_2017","positive regulation of protein localization to cell cortex (GO:1904778)",9.096581787577e-05,0.00309890219563456,-38.3462679496344,"EPB41L2,GNAI1"
"207","GO_Biological_Process_2017","negative regulation of erythrocyte differentiation (GO:0045647)",0.000136180519088347,0.00434926532838409,1.75541392958127,"ZFP36,HOXA5"
"173","GO_Biological_Process_2017","positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)",0.000150793711429816,0.00453268156121388,20.4853022414218,"EDN1,KIT,ARID5B,PPARG"
"175","GO_Biological_Process_2017","heart looping (GO:0001947)",0.000164817558884019,0.00467898736609631,17.6640939754131,"NOTCH1,TGFBR2,TBX2"
