"drugs.in.cluster","cluster","pval"
"BRD-K81300454, BRD-K95561591, BRD-K61679744, BRD-K19433082, BRD-K73143528, BRD-K00863322, BRD-K95080525, BRD-K40577058, BRD-K35790918, BRD-K35191571, BRD-K47147974, BRD-K35133769, BRD-K58674774, BRD-K07872006, BRD-K90996982, BRD-K29500995, BRD-K24686773, BRD-K59139557, BRD-K89546934, BRD-K79381128, BRD-K76612204, BRD-K60218670, BRD-K73285375, BRD-K24461445, BRD-K72817452, BRD-K24127443, BRD-K42681396, BRD-K00442147, BRD-K78206606, BRD-K66448556, BRD-K26211296, BRD-K98288062, BRD-K64314806, BRD-K47917680","c0-2",0
"BRD-K06311439, BRD-K87426499, BRD-K30704475","c0-407",0
"BRD-K98991361, BRD-K04156788, n-(3-acetamidophenyl)-3-chlorobenzamide, BRD-K38012662, BRD-K75903201, BRD-K96213252, BRD-K59036917","c0-538",0
"BRD-K12385780, BRD-K44363090, BRD-K45056194","c0-633",0
"BRD-K35413818, BRD-K31828306, BRD-K79414420, BRD-K91600270, BRD-K86273012","c0-690",0
"BRD-K21152785, BRD-K12092185, BRD-K69096174, BRD-K12642652, BRD-K69827766","c0-717",0
"BRD-K30647638, BRD-K45308677, BRD-K62716919, BRD-K11671649, BRD-K93875449","c0-794",0
"BRD-K24663282, BRD-K36773541, BRD-K87765798","c2-267",0
"trehalose, BRD-K56392985, BRD-K54573313, BRD-A20488704","c4-277",0
"BRD-K91264756, BRD-K55966666, BRD-K41284916, BRD-K74029109, BRD-K89383912, BRD-K91691979, BRD-K35389996, BRD-K35920785, BRD-K12540328, BRD-K19117583, BRD-K45355657, BRD-K67941506, BRD-K53653395, BRD-K01602319, BRD-K66438357, BRD-K97926541, BRD-K60202068, BRD-K13604076, BRD-K58519325","c0-59",0.001
"BRD-K84571636, etamivan, eugenol, metanephrine","c2-122",0.001
"BRD-K14914284, BRD-K06555716, BRD-K76363932","c3-242",0.001
"L-655708, flumazenil","c4-282",0.001
"BRD-K86947329, BRD-K09703570, BRD-K44421266, BRD-K61556970, BRD-K80848948, BRD-K96659448","c0-345",0.002
"BRD-K47897830, BRD-K07472106, BRD-K44302407","c0-1564",0.002
"octopamine, methyltyramine, dopamine, tyramine","c1-178",0.002
"terbutaline, orciprenaline, fenoterol, isoprenaline","c1-233",0.003
"BRD-K64970062, BRD-K17830172, BRD-K05562558","c1-378",0.003
"pseudoephedrine, racephedrine, ephedrine, fenipentol","c3-27",0.003
"guanadrel","c4-795",0.003
"BRD-K05615182, BRD-K82340687, BRD-K13166308, BRD-K86250672, BRD-K64882872, BRD-K89326053, BRD-K15761174","c0-498",0.004
